MANDT,MSEHI,KZEX3,KZEX6,ANDEC,KZKEH,KZWOB,KZ1EH,KZ2EH,DIMID,ZAEHL,NENNR,EXP10,ADDKO,EXPON,DECAN,ISOCODE,PRIMARY,TEMP_VALUE,TEMP_UNIT,FAMUNIT,PRESS_VAL,PRESS_UNIT
900,KGS,X,X,0,X,,,,MASFLO,1,1,0,0,0,0,KGS,X,0.00E+00,,,0.00E+00,
900,KGT,X,X,0,,,,,MPROPO,1,1000,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,KGV,X,X,0,X,,,,DENSI,1,1,0,0,0,0,KMQ,X,0.00E+00,,,0.00E+00,
900,KGW,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,KHZ,X,X,0,,,,,FREQU,1000,1,0,0,0,0,KHZ,,0.00E+00,,,0.00E+00,
900,KI,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,CR,X,0.00E+00,,,0.00E+00,
900,KJ,X,X,0,,,,,ENERGY,1000,1,0,0,0,0,KJO,,0.00E+00,,,0.00E+00,
900,KJK,X,X,0,X,,,,SPENER,1000,1,0,0,0,0,B42,,0.00E+00,,,0.00E+00,
900,KJM,X,X,0,X,,,,MOENER,1000,1,0,0,0,0,B44,,0.00E+00,,,0.00E+00,
900,KM,X,X,0,X,,,,LENGTH,1000,1,0,0,0,0,KMT,X,0.00E+00,,,0.00E+00,
900,KM2,X,X,0,X,,,,SURFAC,1000000,1,0,0,0,0,KMK,,0.00E+00,,,0.00E+00,
900,KMH,X,X,0,X,,,,SPEED,10,36,0,0,0,0,KMH,,0.00E+00,,,0.00E+00,
900,KMK,X,X,0,,,,,VPROPO,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,KMN,X,X,0,X,,,,TEMPRT,1,60,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,KMS,X,X,0,X,,,,TEMPRT,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,KOH,X,X,0,,,,,RESIST,1000,1,0,0,0,0,B49,,0.00E+00,,,0.00E+00,
900,KPA,X,X,0,X,,,,PRESS,1,1,3,0,0,0,KPA,,0.00E+00,,,0.00E+00,
900,KT,X,X,0,X,,,,MASS,1000000,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,KV,X,X,0,,,,,VOLTAG,1000,1,0,0,0,0,KVT,,0.00E+00,,,0.00E+00,
900,KVA,X,X,0,X,,,,POWER,1,1,3,0,0,0,KVA,,0.00E+00,,,0.00E+00,
900,KW,X,X,3,,,,,POWER,1000,1,0,0,0,0,KWT,X,0.00E+00,,,0.00E+00,
900,KWH,X,X,99,,,,,ENERGY,3600,1,3,0,0,0,KWH,X,0.00E+00,,,0.00E+00,
900,KWK,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,KWM,X,X,0,,,,,PRESS,3600,1,3,0,0,0,,,0.00E+00,,,0.00E+00,
900,L,X,X,3,X,,,,VOLUME,1,1000,0,0,0,0,LTR,X,0.00E+00,,,0.00E+00,
900,L2,X,X,0,X,,,,VOLFLO,1,60000,0,0,0,0,L2,,0.00E+00,,,0.00E+00,
900,LB,X,X,0,X,,,,MASS,453592,1000000,0,0,0,0,LBR,,0.00E+00,,,0.00E+00,
900,LBJ,X,X,0,,,,,MASFLO,453592,31536000,6,0,0,0,,,0.00E+00,,,0.00E+00,
900,LBm,X,X,0,,,,,MASFLO,453592,2592000,6,0,0,0,,,0.00E+00,,,0.00E+00,
900,LE,X,X,3,X,X,,,AAAADL,1,1,0,0,0,0,C62,,0.00E+00,,,0.00E+00,
900,LHK,X,X,3,X,,,,SURFAC,1,1,-8,0,0,0,,,0.00E+00,,,0.00E+00,
900,LM,X,X,3,X,,,,AAAADL,1,1,0,0,0,3,,,0.00E+00,,,0.00E+00,
900,LMS,X,X,0,X,,,,HYDROL,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,LPH,X,X,3,X,,,,VOLFLO,1,3600000,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,M,X,X,3,X,,,,LENGTH,1,1,0,0,0,0,MTR,X,0.00E+00,,,0.00E+00,
900,M%,X,X,0,,,,,MPROPO,1,100,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,M%O,X,X,0,,,,,MPROPO,1,1000,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,M/S,X,X,0,X,,,,SPEED,1,1,0,0,0,0,MTS,X,0.00E+00,,,0.00E+00,
900,M2,X,X,3,X,,,,SURFAC,1,1,0,0,0,0,MTK,X,0.00E+00,,,0.00E+00,
900,M2I,X,X,3,X,,,,SURINV,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,M2S,X,X,0,X,,,,VISKIN,1,1,0,0,0,0,S4,,0.00E+00,,,0.00E+00,
900,M3,X,X,3,X,,,,VOLUME,1,1,0,0,0,0,MTQ,X,0.00E+00,,,0.00E+00,
900,M3D,X,X,0,X,,,,VOLFLO,1,86400,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,M3S,X,X,0,X,,,,VOLFLO,1,1,0,0,0,0,MQS,X,0.00E+00,,,0.00E+00,
900,MA,X,X,0,,,,,ECURR,1,1000,0,0,0,0,4K,,0.00E+00,,,0.00E+00,
900,MBA,X,X,0,,,,,PRESS,100,1,0,0,0,0,MBR,,0.00E+00,,,0.00E+00,
900,MBZ,X,X,0,,,,,STEXKZ,100000,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,MEJ,X,X,0,X,,,,ENERGY,1000000,1,0,0,0,0,3B,,0.00E+00,,,0.00E+00,
900,MG,X,X,3,X,,,,MASS,1,1000000,0,0,0,0,MGM,X,0.00E+00,,,0.00E+00,
